Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,CV Accuracy
Random Forest,0.9016393442622951,0.84375,0.9642857142857143,0.9,0.95508658008658,0.8097789115646258
Logistic Regression,0.8688524590163934,0.8125,0.9285714285714286,0.8666666666666667,0.9512987012987013,0.8262755102040817
SVM,0.8524590163934426,0.8064516129032258,0.8928571428571429,0.847457627118644,0.9437229437229437,0.8261904761904763
KNN,0.8360655737704918,0.7647058823529411,0.9285714285714286,0.8387096774193549,0.9453463203463204,0.8222789115646257
Decision Tree,0.7213114754098361,0.6571428571428571,0.8214285714285714,0.7301587301587301,0.7288961038961038,0.7435374149659864
